# Run_id Event_id    Mjd          Ra      Dec      Gold Bronze Signalness Yearly_rate
116528 52433389 55451.0707482 2.23446 -0.61583 False True 0.459 1.382
118435 58198553 55756.1129844 1.18815 0.70270 True True 0.778 0.106
120045 22615214 56048.5704209 2.88273 -1.21743 False True 0.464 1.877
122152 30701331 56390.1887627 2.91387 0.35680 True True 0.525 0.734
122604 17469985 56470.1103795 1.62082 0.29546 True True 0.665 0.199
123867 11659459 56671.8778763 5.89020 0.00787 False True 0.335 0.967
123986 77999595 56679.2044683 3.73514 -1.50580 True True 0.821 0.148
125071 31397276 56859.7588218 1.73773 -0.58428 True True 0.565 0.562
127853 67093193 57505.2448176 4.20449 0.14576 False True 0.451 0.235
128290 6888376 57600.0799020 3.75431 -0.00797 False True 0.441 0.329
128340 58537957 57614.9068759 3.48323 -0.55730 True True 0.607 0.562
128672 38561326 57695.3802214 0.71169 0.21282 False True 0.311 1.382
130126 56068624 58041.0656258 2.83754 -0.27683 True True 0.554 0.296
130561 84363835 58135.7522056 3.60419 0.06293 False True 0.424 0.329
131624 12296708 58405.4946652 3.93021 -0.60724 False True 0.386 1.877
131680 66412090 58422.0853173 3.19032 -1.19360 True True 0.804 0.253
131913 38717715 58464.0852298 5.53647 -0.53013 False True 0.459 1.382
132077 9759013 58507.1554953 5.36150 -0.56359 True True 0.743 0.296
132143 36142391 58519.8897049 2.24616 -0.93051 False True 0.464 1.877
132229 66688965 58535.3511542 4.66640 -0.29562 True True 0.550 0.360
132518 766165 58607.7675740 1.14819 -0.65351 False True 0.386 1.877
