# Run   Event    |  MJD     |   RA    Dec   | 50%    90% | E_Muon   E_Nu   |  Sig. | Selection | Overlap
# --- 2011 (13 bronze events / 5 gold events) ---
123281  52248792 |  56620.1 |  285.7   19.6 |  0.2   0.5 |     147     180 |   55% |  Gold     |
123365  72695973 |  56639.1 |  311.3  -13.3 |  0.3   0.7 |   1,817   1,920 |   31% |  Bronze   |
# --- 2014 (20 bronze events / 7 gold events) ---
123620  47444787 |  58528.7 |  191.5   -2.9 |  0.2   0.6 |     176     200 |   56% |  Gold     |
123662  27529428 |  56660.9 |   41.6   72.9 |  1.6   4.2 |      95     125 |   42% |  Bronze   |
123751  34239163 |  56665.3 |  344.7    1.6 |  0.2   0.5 |     125     163 |   40% |  Bronze   |  EHE
123762  72626160 |  56666.5 |  293.3   33.5 |  0.2   0.5 |     821     924 |   93% |  Gold     |  EHE, Diffuse
123986  63557286 |  56679.1 |  135.9   40.5 |  0.9   2.2 |      98     131 |   46% |  Bronze   |
124221  76481548 |  56701.8 |  203.1   13.8 |  0.2   0.6 |     104     140 |   39% |  Bronze   |
124296  49827757 |  56711.9 |  123.7   32.2 |  0.8   2.0 |      91     119 |   43% |  Bronze   |
124340  19400842 |  56723.9 |  308.5   36.9 |  0.6   1.4 |      78     109 |   40% |  Bronze   |
124463  35466777 |  56740.1 |  225.9   51.0 |  0.2   0.6 |      78     109 |   40% |  Bronze   |
124547  66087371 |  56757.1 |  162.1   86.0 |  6.2  16.0 |     216     246 |   63% |  Gold     |
124569  22040903 |  56758.6 |  146.2   16.8 |  0.3   0.9 |     116     156 |   45% |  Bronze   |
124643   5182926 |  56767.9 |    9.4   18.0 |  0.7   1.8 |     124     163 |   49% |  Bronze   |
124693  33063779 |  56781.0 |  161.5   45.2 |  0.9   2.3 |      78     109 |   40% |  Bronze   |
124829  42577032 |  56811.1 |    9.4    7.6 |  0.2   0.5 |     112     152 |   38% |  Bronze   |
124852  74171655 |  56817.6 |  106.1    1.2 |  0.2   0.6 |     406     459 |   82% |  Gold     |  Diffuse
124861  32863663 |  56819.2 |  110.1   11.1 |  0.2   0.5 |   5,846   5,960 |  100% |  Gold     |  EHE, Diffuse
124994  15096469 |  56842.3 |  159.7   51.8 |  0.4   1.1 |     111     150 |   50% |  Bronze   |
125001  73159253 |  56843.7 |   25.7    2.7 |  0.4   1.1 |     186     212 |   56% |  Gold     |
125011  43302321 |  56845.5 |  242.3   14.6 |  0.3   0.7 |     129     167 |   48% |  Bronze   |
125046  64570437 |  56851.6 |    1.1   15.6 |  0.2   0.5 |     100     134 |   39% |  Bronze   |
125205  19617837 |  56889.4 |  272.1    1.3 |  0.3   0.8 |      77     108 |   27% |  Bronze   |
125338  65606123 |  56923.7 |  169.6   -1.5 |  0.2   0.5 |     133     170 |   44% |  Bronze   |  EHE
125349  12316485 |  56927.2 |   51.0   -0.3 |  0.5   1.3 |     149     182 |   48% |  Gold     |
125422  26630854 |  56942.8 |   63.1    3.4 |  0.3   0.7 |     138     173 |   44% |  Bronze   |
125558  19184163 |  56975.3 |  221.8   27.5 |  0.3   0.8 |      81     110 |   38% |  Bronze   |
125693  21174828 |  56999.7 |  246.7   17.3 |  0.2   0.5 |      79     109 |   33% |  Bronze   |
125757  12938244 |  57012.4 |  179.4   -2.0 |  0.2   0.5 |     100     134 |   35% |  Bronze   |
# --- 2015 (23 bronze events / 10 gold events) ---
125796  16042897 |  58528.7 |  318.3    3.3 |  0.2   0.5 |      95     126 |   32% |  Bronze   |
125800  83097666 |  57026.4 |  271.8   29.2 |  0.3   0.9 |     100     133 |   45% |  Bronze   |
125929  11025256 |  57040.5 |  151.4    4.0 |  0.5   1.3 |     116     156 |   37% |  Bronze   |
125934  55750717 |  57041.4 |  287.1    6.5 |  0.2   0.5 |     104     140 |   35% |  Bronze   |
125940   7449833 |  57043.0 |   96.1   14.3 |  0.2   0.5 |      85     113 |   34% |  Bronze   |
125968  61389842 |  57049.5 |  100.4    4.4 |  0.2   0.5 |     252     293 |   66% |  Gold     |  Diffuse
125973  80686964 |  57051.2 |  357.0    7.1 |  1.0   2.7 |      99     131 |   34% |  Bronze   |
126082  40384770 |  57078.0 |  237.0   55.0 |  3.0   7.7 |      74     106 |   38% |  Bronze   |
126148  74589372 |  57094.3 |  126.2   -3.2 |  0.4   1.1 |      76     107 |   29% |  Bronze   |
126308  20883844 |  57140.6 |   29.6   15.6 |  0.2   0.6 |      79     109 |   32% |  Bronze   |
126370  61611641 |  57157.9 |   91.7   11.9 |  0.3   0.9 |     344     401 |   77% |  Gold     |  Diffuse
126405  50771014 |  57168.0 |  139.6   -1.9 |  0.2   0.5 |      78     109 |   28% |  Bronze   |
126423  50123696 |  57174.0 |  334.0    9.3 |  0.3   0.7 |      75     106 |   27% |  Bronze   |
!!!126456   1581608 |  57182.0 |   49.1    0.0 |  0.3   0.7 |      91     119 |   31% |  Bronze   |
!!!126456  35956042 |  57182.2 |  245.4    0.3 |  0.2   0.5 |      88     115 |   30% |  Bronze   |
126514  73786337 |  57198.6 |   73.0    0.8 |  0.2   0.6 |      82     112 |   29% |  Bronze   |
